base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutAY_mem-p8.btor,2.04,423,,,
picorv32_mutBY_mem-p4.btor,1.98,423,,,
picorv32_mutCY_mem-p8.btor,2.04,423,,,
picorv32_mutBY_mem-p8.btor,2.06,413,,,
picorv32_mutAX_mem-p7.btor,2.23,423,,,
picorv32_mutBX_mem-p2.btor,2.21,423,,,
picorv32_mutCX_mem-p7.btor,2.27,422,,,
picorv32_mutCY_mem-p3.btor,2.32,423,,,
picorv32_mutAY_mem-p6.btor,2.23,423,,,
picorv32_mutBX_mem-p5.btor,2.29,423,,,
picorv32_mutCY_mem-p1.btor,2.30,423,,,
picorv32_mutBX_mem-p6.btor,2.49,423,,,
picorv32_mutCX_mem-p0.btor,2.47,423,,,
picorv32_mutAX_mem-p0.btor,2.54,423,,,
picorv32_mutAY_mem-p5.btor,2.62,423,,,
picorv32_mutBX_mem-p7.btor,2.72,423,,,
picorv32_mutBX_mem-p1.btor,2.96,398,,,
picorv32_mutCX_mem-p3.btor,2.93,399,,,
