base,Cpu,Mem,BMC,seahorn_total,Result
marlann_compute_fail1-p0.btor,1.24,402,,,
marlann_compute_fail2-p2.btor,1.24,408,,,
marlann_compute_fail1-p2.btor,1.27,409,,,
marlann_compute_fail2-p1.btor,1.17,406,,,
marlann_compute_fail1-p1.btor,1.25,403,,,
