base,Cpu,Mem,BMC,seahorn_total,Result
dblclockfft_butterfly_ck3_r2-p052.btor,1.65,412,,,
dblclockfft_butterfly_ck1-p212.btor,2.61,423,,,
dblclockfft_butterfly_ck3_r2-p059.btor,1.61,423,,,
zipcpu_zipcpu_piped-p073.btor,2.44,423,,,
zipcpu_zipcpu_piped-p102.btor,2.27,423,,,
zipcpu_zipcpu_dcache-p582.btor,5.85,481,,,
dblclockfft_butterfly_ck1-p214.btor,2.51,423,,,
zipcpu_zipcpu_piped-p081.btor,2.41,412,,,
zipcpu_zipcpu_piped-p110.btor,2.37,423,,,
dblclockfft_butterfly_ck1-p222.btor,2.55,423,,,
dblclockfft_butterfly_ck1-p223.btor,2.40,423,,,
zipcpu_zipcpu_piped-p111.btor,2.33,423,,,
zipcpu_zipcpu_piped-p112.btor,2.07,422,,,
dblclockfft_butterfly_ck1-p255.btor,2.54,423,,,
dblclockfft_butterfly_ck1-p257.btor,2.46,422,,,
dblclockfft_butterfly_ck3_r2-p060.btor,1.38,423,,,
dblclockfft_butterfly_ck3_r2-p079.btor,1.25,423,,,
zipcpu_zipcpu_piped-p115.btor,1.98,423,,,
dblclockfft_butterfly_ck1-p265.btor,2.37,423,,,
zipcpu_zipcpu_piped-p131.btor,1.70,423,,,
dblclockfft_butterfly_ck1-p267.btor,1.92,423,,,
zipcpu_zipcpu_piped-p132.btor,1.73,423,,,
dblclockfft_butterfly_ck1-p269.btor,1.84,423,,,
dblclockfft_butterfly_ck3_r2-p133.btor,1.62,423,,,
dblclockfft_butterfly_ck3_r2-p156.btor,1.58,423,,,
dblclockfft_butterfly_ck3_r2-p148.btor,1.59,423,,,
dblclockfft_butterfly_ck3_r2-p151.btor,1.67,423,,,
dblclockfft_butterfly_ck3_r2-p093.btor,1.71,412,,,
dblclockfft_butterfly_ck3_r2-p154.btor,1.67,423,,,
dblclockfft_butterfly_ck3_r2-p146.btor,1.70,410,,,
dblclockfft_butterfly_ck3_r2-p114.btor,1.65,423,,,
dblclockfft_butterfly_ck3_r2-p173.btor,1.67,423,,,
dblclockfft_butterfly_ck3_r2-p155.btor,1.73,423,,,
zipcpu_zipcpu_piped-p183.btor,2.37,423,,,
zipcpu_zipcpu_piped-p177.btor,2.40,423,,,
zipcpu_zipcpu_piped-p155.btor,2.42,423,,,
zipcpu_zipcpu_piped-p142.btor,2.41,423,,,
zipcpu_zipcpu_piped-p146.btor,2.39,422,,,
zipcpu_zipcpu_piped-p156.btor,2.41,422,,,
zipcpu_zipcpu_piped-p162.btor,2.46,423,,,
zipcpu_zipcpu_piped-p160.btor,2.42,423,,,
zipcpu_zipcpu_piped-p185.btor,2.43,423,,,
zipcpu_zipcpu_piped-p163.btor,2.42,423,,,
dblclockfft_butterfly_ck1-p304.btor,2.57,423,,,
dblclockfft_butterfly_ck1-p285.btor,2.60,423,,,
dblclockfft_butterfly_ck1-p286.btor,2.62,423,,,
dblclockfft_butterfly_ck1-p276.btor,2.70,423,,,
dblclockfft_butterfly_ck1-p310.btor,2.67,423,,,
dblclockfft_butterfly_ck1-p348.btor,2.72,415,,,
dblclockfft_butterfly_ck1-p333.btor,2.65,423,,,
dblclockfft_butterfly_ck1-p341.btor,2.72,415,,,
dblclockfft_butterfly_ck1-p309.btor,2.73,423,,,
dblclockfft_butterfly_ck1-p346.btor,2.82,423,,,
dblclockfft_butterfly_ck1-p343.btor,2.77,423,,,
zipcpu_zipcpu_piped-p205.btor,2.42,423,,,
zipcpu_zipcpu_piped-p214.btor,2.42,423,,,
zipcpu_zipcpu_piped-p211.btor,2.43,423,,,
zipcpu_zipcpu_piped-p210.btor,2.48,423,,,
dblclockfft_butterfly_ck1-p352.btor,2.74,423,,,
dblclockfft_butterfly_ck1-p354.btor,2.63,420,,,
dblclockfft_butterfly_ck1-p351.btor,2.84,423,,,
zipcpu_zipcpu_piped-p219.btor,2.38,423,,,
zipcpu_zipcpu_piped-p218.btor,2.47,423,,,
zipcpu_zipcpu_piped-p223.btor,2.44,423,,,
zipcpu_zipcpu_dcache-p019.btor,5.39,482,,,
zipcpu_zipcpu_piped-p224.btor,2.39,423,,,
dblclockfft_butterfly_ck1-p359.btor,2.66,423,,,
zipcpu_zipcpu_piped-p226.btor,2.41,423,,,
zipcpu_zipcpu_piped-p267.btor,2.42,423,,,
dblclockfft_butterfly_ck1-p375.btor,2.73,423,,,
dblclockfft_butterfly_ck1-p372.btor,2.76,423,,,
zipcpu_zipcpu_piped-p262.btor,2.46,423,,,
dblclockfft_butterfly_ck1-p420.btor,2.61,423,,,
dblclockfft_butterfly_ck1-p422.btor,2.56,404,,,
dblclockfft_butterfly_ck1-p386.btor,2.75,423,,,
dblclockfft_butterfly_ck1-p428.btor,2.74,404,,,
zipcpu_zipcpu_dcache-p028.btor,5.14,482,,,
zipcpu_zipcpu_piped-p275.btor,2.36,423,,,
dblclockfft_butterfly_ck1-p432.btor,2.67,423,,,
dblclockfft_butterfly_ck1-p434.btor,2.70,423,,,
zipcpu_zipcpu_dcache-p034.btor,5.54,482,,,
zipcpu_zipcpu_piped-p288.btor,2.47,423,,,
zipcpu_zipcpu_dcache-p041.btor,5.48,482,,,
dblclockfft_butterfly_ck1-p436.btor,2.68,423,,,
zipcpu_zipcpu_piped-p295.btor,2.39,415,,,
dblclockfft_butterfly_ck2_r0-p043.btor,2.00,423,,,
zipcpu_zipcpu_dcache-p068.btor,5.36,482,,,
zipcpu_zipcpu_dcache-p059.btor,5.40,481,,,
dblclockfft_butterfly_ck2_r0-p048.btor,1.99,423,,,
dblclockfft_butterfly_ck2_r0-p061.btor,1.94,423,,,
dblclockfft_butterfly_ck1-p454.btor,2.60,423,,,
zipcpu_zipcpu_dcache-p079.btor,5.22,482,,,
zipcpu_zipcpu_piped-p308.btor,2.43,423,,,
zipcpu_zipcpu_dcache-p071.btor,5.37,472,,,
zipcpu_zipcpu_piped-p315.btor,2.27,423,,,
zipcpu_zipcpu_piped-p323.btor,2.28,423,,,
zipcpu_zipcpu_piped-p309.btor,2.38,423,,,
zipcpu_zipcpu_dcache-p085.btor,5.23,481,,,
zipcpu_zipcpu_dcache-p072.btor,5.28,482,,,
dblclockfft_butterfly_ck1-p455.btor,2.60,423,,,
zipcpu_zipcpu_dcache-p082.btor,5.22,482,,,
dblclockfft_butterfly_ck2_r0-p064.btor,1.45,423,,,
zipcpu_zipcpu_piped-p327.btor,1.86,423,,,
zipcpu_zipcpu_dcache-p088.btor,4.33,482,,,
zipcpu_zipcpu_piped-p330.btor,1.67,423,,,
zipcpu_zipcpu_dcache-p090.btor,4.38,482,,,
zipcpu_zipcpu_dcache-p097.btor,4.22,482,,,
zipcpu_zipcpu_dcache-p126.btor,4.12,482,,,
zipcpu_zipcpu_dcache-p138.btor,4.18,481,,,
zipcpu_zipcpu_dcache-p141.btor,3.99,471,,,
zipcpu_zipcpu_dcache-p158.btor,4.07,471,,,
zipcpu_zipcpu_dcache-p159.btor,3.60,481,,,
zipcpu_zipcpu_dcache-p164.btor,3.13,482,,,
dblclockfft_butterfly_ck2_r0-p098.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p095.btor,2.02,419,,,
dblclockfft_butterfly_ck2_r0-p103.btor,2.03,423,,,
dblclockfft_butterfly_ck2_r0-p075.btor,2.01,420,,,
dblclockfft_butterfly_ck2_r0-p101.btor,1.94,423,,,
dblclockfft_butterfly_ck2_r0-p096.btor,2.01,423,,,
dblclockfft_butterfly_ck2_r0-p152.btor,1.94,423,,,
dblclockfft_butterfly_ck2_r0-p106.btor,1.90,423,,,
dblclockfft_butterfly_ck2_r0-p134.btor,1.94,423,,,
dblclockfft_butterfly_ck2_r0-p100.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p129.btor,2.09,423,,,
zipcpu_zipcpu_piped-p347.btor,2.36,423,,,
zipcpu_zipcpu_piped-p344.btor,2.41,423,,,
zipcpu_zipcpu_piped-p342.btor,2.38,420,,,
zipcpu_zipcpu_piped-p389.btor,2.36,420,,,
zipcpu_zipcpu_piped-p372.btor,2.36,423,,,
zipcpu_zipcpu_piped-p350.btor,2.43,423,,,
zipcpu_zipcpu_piped-p378.btor,2.38,420,,,
zipcpu_zipcpu_piped-p390.btor,2.44,423,,,
zipcpu_zipcpu_piped-p381.btor,2.36,423,,,
zipcpu_zipcpu_piped-p351.btor,2.41,423,,,
dblclockfft_butterfly_ck2_r0-p155.btor,1.98,423,,,
dblclockfft_butterfly_ck2_r0-p168.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p159.btor,2.03,423,,,
dblclockfft_butterfly_ck2_r0-p171.btor,1.98,423,,,
zipcpu_zipcpu_piped-p423.btor,2.41,423,,,
zipcpu_zipcpu_piped-p399.btor,2.41,423,,,
zipcpu_zipcpu_piped-p431.btor,2.46,423,,,
zipcpu_zipcpu_piped-p442.btor,2.42,423,,,
dblclockfft_butterfly_ck2_r0-p173.btor,2.06,423,,,
dblclockfft_butterfly_ck2_r0-p185.btor,2.02,423,,,
zipcpu_zipcpu_piped-p448.btor,2.37,423,,,
zipcpu_zipcpu_dcache-p179.btor,5.27,482,,,
zipcpu_zipcpu_dcache-p237.btor,5.14,481,,,
dblclockfft_butterfly_ck2_r0-p188.btor,2.06,423,,,
zipcpu_zipcpu_dcache-p199.btor,5.21,482,,,
zipcpu_zipcpu_piped-p472.btor,2.48,423,,,
zipcpu_zipcpu_dcache-p211.btor,5.19,482,,,
zipcpu_zipcpu_dcache-p192.btor,5.31,482,,,
zipcpu_zipcpu_dcache-p209.btor,5.13,481,,,
