index,cycles
marlann_compute_fail1-p0.btor,29031.0
marlann_compute_fail1-p1.btor,28198.0
marlann_compute_fail1-p2.btor,28881.0
marlann_compute_fail2-p1.btor,28996.0
marlann_compute_fail2-p2.btor,28629.0
