base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutBY_mem-p8.btor,2.13,423,,,
picorv32_mutCY_mem-p3.btor,2.16,423,,,
picorv32_mutAY_mem-p5.btor,2.11,423,,,
picorv32_mutCY_mem-p8.btor,2.24,408,,,
picorv32_mutBX_mem-p2.btor,2.82,408,,,
picorv32_mutAY_mem-p6.btor,2.20,413,,,
picorv32_mutAY_mem-p8.btor,2.35,423,,,
picorv32_mutAX_mem-p7.btor,2.90,413,,,
picorv32_mutBX_mem-p1.btor,2.87,410,,,
picorv32_mutBY_mem-p4.btor,2.41,423,,,
picorv32_mutCX_mem-p0.btor,3.06,423,,,
picorv32_mutCX_mem-p7.btor,3.12,423,,,
picorv32_mutCX_mem-p3.btor,3.24,423,,,
picorv32_mutBX_mem-p5.btor,3.32,423,,,
picorv32_mutCY_mem-p1.btor,2.80,423,,,
picorv32_mutAX_mem-p0.btor,3.47,423,,,
picorv32_mutBX_mem-p7.btor,4.15,423,,,
picorv32_mutBX_mem-p6.btor,4.17,423,,,
