base,Cpu,Mem,BMC,seahorn_total,Result
picorv32-check-p08.btor,0.94,423,,,
VexRiscv-regch0-15-p1.btor,0.87,404,,,
zipcpu-zipmmu-p28.btor,0.78,423,,,
zipcpu-zipmmu-p26.btor,0.74,423,,,
picorv32-check-p14.btor,0.98,412,,,
zipcpu-zipmmu-p06.btor,0.74,423,,,
zipcpu-zipmmu-p00.btor,0.74,423,,,
VexRiscv-regch0-20-p0.btor,0.83,408,,,
picorv32-check-p09.btor,0.87,423,,,
zipcpu-zipmmu-p29.btor,0.77,406,,,
VexRiscv-regch0-15-p0.btor,1.04,423,,,
zipcpu-zipmmu-p01.btor,0.76,412,,,
picorv32-check-p10.btor,1.10,423,,,
zipcpu-zipmmu-p41.btor,0.90,409,,,
picorv32-check-p01.btor,1.07,423,,,
zipcpu-zipmmu-p31.btor,0.79,413,,,
picorv32-check-p06.btor,1.06,423,,,
zipcpu-zipmmu-p34.btor,0.80,412,,,
picorv32-check-p18.btor,1.04,410,,,
ponylink-slaveTXlen-unsat.btor,2.01,412,,,
