base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu_zipcpu_dcache-p019.btor,5.33,482,,,
zipcpu_zipcpu_piped-p226.btor,2.36,423,,,
dblclockfft_butterfly_ck1-p375.btor,2.88,423,,,
dblclockfft_butterfly_ck1-p420.btor,2.72,423,,,
zipcpu_zipcpu_piped-p262.btor,2.45,423,,,
zipcpu_zipcpu_piped-p267.btor,2.42,423,,,
dblclockfft_butterfly_ck1-p422.btor,2.70,423,,,
dblclockfft_butterfly_ck1-p428.btor,2.70,423,,,
zipcpu_zipcpu_piped-p275.btor,2.46,423,,,
zipcpu_zipcpu_dcache-p028.btor,5.41,482,,,
dblclockfft_butterfly_ck1-p432.btor,2.60,423,,,
zipcpu_zipcpu_dcache-p034.btor,5.24,480,,,
zipcpu_zipcpu_piped-p288.btor,2.44,423,,,
dblclockfft_butterfly_ck1-p434.btor,2.64,423,,,
zipcpu_zipcpu_dcache-p041.btor,5.46,482,,,
dblclockfft_butterfly_ck2_r0-p043.btor,1.96,423,,,
dblclockfft_butterfly_ck1-p436.btor,2.74,423,,,
zipcpu_zipcpu_dcache-p059.btor,5.31,481,,,
zipcpu_zipcpu_piped-p295.btor,2.47,423,,,
zipcpu_zipcpu_dcache-p068.btor,5.25,482,,,
zipcpu_zipcpu_dcache-p071.btor,5.28,482,,,
zipcpu_zipcpu_piped-p309.btor,2.41,423,,,
zipcpu_zipcpu_dcache-p072.btor,5.33,482,,,
dblclockfft_butterfly_ck2_r0-p048.btor,1.98,423,,,
zipcpu_zipcpu_piped-p308.btor,2.46,423,,,
zipcpu_zipcpu_dcache-p079.btor,5.20,482,,,
dblclockfft_butterfly_ck1-p455.btor,2.66,423,,,
dblclockfft_butterfly_ck1-p454.btor,2.69,423,,,
zipcpu_zipcpu_piped-p315.btor,2.35,423,,,
dblclockfft_butterfly_ck2_r0-p061.btor,2.02,423,,,
zipcpu_zipcpu_dcache-p082.btor,5.06,482,,,
zipcpu_zipcpu_dcache-p085.btor,5.17,481,,,
zipcpu_zipcpu_piped-p323.btor,2.28,423,,,
dblclockfft_butterfly_ck2_r0-p064.btor,1.50,423,,,
zipcpu_zipcpu_dcache-p088.btor,4.58,482,,,
zipcpu_zipcpu_piped-p327.btor,1.85,423,,,
zipcpu_zipcpu_piped-p330.btor,1.65,423,,,
zipcpu_zipcpu_dcache-p090.btor,4.52,482,,,
zipcpu_zipcpu_dcache-p097.btor,4.19,482,,,
zipcpu_zipcpu_dcache-p126.btor,4.24,482,,,
zipcpu_zipcpu_dcache-p141.btor,3.97,482,,,
zipcpu_zipcpu_dcache-p138.btor,4.47,481,,,
zipcpu_zipcpu_dcache-p158.btor,3.81,482,,,
zipcpu_zipcpu_dcache-p164.btor,3.17,482,,,
zipcpu_zipcpu_dcache-p159.btor,3.65,481,,,
dblclockfft_butterfly_ck2_r0-p098.btor,1.90,423,,,
dblclockfft_butterfly_ck2_r0-p100.btor,1.95,423,,,
dblclockfft_butterfly_ck2_r0-p075.btor,1.99,423,,,
zipcpu_zipcpu_piped-p372.btor,2.25,423,,,
dblclockfft_butterfly_ck2_r0-p095.btor,2.05,423,,,
dblclockfft_butterfly_ck2_r0-p103.btor,1.94,423,,,
dblclockfft_butterfly_ck2_r0-p106.btor,1.92,423,,,
dblclockfft_butterfly_ck2_r0-p134.btor,2.00,423,,,
dblclockfft_butterfly_ck2_r0-p152.btor,1.95,423,,,
zipcpu_zipcpu_piped-p381.btor,2.23,423,,,
zipcpu_zipcpu_piped-p342.btor,2.39,423,,,
zipcpu_zipcpu_piped-p378.btor,2.39,423,,,
dblclockfft_butterfly_ck2_r0-p101.btor,2.00,423,,,
zipcpu_zipcpu_piped-p344.btor,2.36,423,,,
dblclockfft_butterfly_ck2_r0-p096.btor,2.08,423,,,
zipcpu_zipcpu_piped-p347.btor,2.41,423,,,
dblclockfft_butterfly_ck2_r0-p129.btor,2.11,423,,,
zipcpu_zipcpu_piped-p350.btor,2.31,423,,,
zipcpu_zipcpu_piped-p390.btor,2.23,423,,,
zipcpu_zipcpu_piped-p389.btor,2.24,423,,,
zipcpu_zipcpu_piped-p351.btor,2.40,423,,,
dblclockfft_butterfly_ck2_r0-p159.btor,1.83,423,,,
dblclockfft_butterfly_ck2_r0-p168.btor,1.78,422,,,
dblclockfft_butterfly_ck2_r0-p155.btor,1.82,422,,,
zipcpu_zipcpu_dcache-p199.btor,4.89,482,,,
zipcpu_zipcpu_dcache-p179.btor,4.90,482,,,
zipcpu_zipcpu_piped-p431.btor,2.23,423,,,
zipcpu_zipcpu_piped-p399.btor,2.26,423,,,
zipcpu_zipcpu_piped-p423.btor,2.26,423,,,
dblclockfft_butterfly_ck2_r0-p171.btor,1.97,423,,,
zipcpu_zipcpu_dcache-p209.btor,5.04,481,,,
dblclockfft_butterfly_ck2_r0-p185.btor,1.98,423,,,
dblclockfft_butterfly_ck2_r0-p173.btor,2.04,423,,,
zipcpu_zipcpu_dcache-p242.btor,5.14,481,,,
dblclockfft_butterfly_ck2_r0-p188.btor,2.02,423,,,
zipcpu_zipcpu_piped-p466.btor,2.38,423,,,
zipcpu_zipcpu_piped-p442.btor,2.46,423,,,
zipcpu_zipcpu_dcache-p238.btor,5.17,481,,,
zipcpu_zipcpu_dcache-p211.btor,5.24,482,,,
zipcpu_zipcpu_dcache-p237.btor,5.16,481,,,
zipcpu_zipcpu_piped-p448.btor,2.53,423,,,
zipcpu_zipcpu_dcache-p192.btor,5.24,482,,,
zipcpu_zipcpu_piped-p472.btor,2.48,423,,,
zipcpu_zipcpu_dcache-p286.btor,5.14,482,,,
zipcpu_zipcpu_dcache-p236.btor,5.27,482,,,
zipcpu_zipcpu_dcache-p229.btor,5.37,482,,,
dblclockfft_butterfly_ck2_r0-p218.btor,1.97,423,,,
dblclockfft_butterfly_ck2_r0-p239.btor,2.03,423,,,
dblclockfft_butterfly_ck2_r0-p232.btor,2.01,413,,,
dblclockfft_butterfly_ck2_r0-p249.btor,1.97,423,,,
zipcpu_zipcpu_piped-p475.btor,2.49,423,,,
dblclockfft_butterfly_ck3_r0-p021.btor,1.61,423,,,
zipcpu_zipcpu_dcache-p301.btor,5.10,481,,,
zipcpu_zipcpu_piped-p476.btor,2.41,423,,,
dblclockfft_butterfly_ck2_r0-p253.btor,2.02,423,,,
dblclockfft_butterfly_ck3_r0-p042.btor,1.63,423,,,
dblclockfft_butterfly_ck3_r0-p029.btor,1.68,423,,,
zipcpu_zipcpu_piped-p479.btor,2.46,423,,,
zipcpu_zipcpu_dcache-p304.btor,5.15,481,,,
zipcpu_zipcpu_piped-p509.btor,2.44,422,,,
zipcpu_zipcpu_piped-p481.btor,2.45,423,,,
zipcpu_zipcpu_dcache-p293.btor,5.20,471,,,
zipcpu_zipcpu_piped-p516.btor,2.41,423,,,
zipcpu_zipcpu_piped-p518.btor,2.33,423,,,
zipcpu_zipcpu_dcache-p362.btor,5.16,482,,,
zipcpu_zipcpu_piped-p520.btor,2.48,423,,,
zipcpu_zipcpu_dcache-p360.btor,5.23,482,,,
zipcpu_zipcpu_dcache-p351.btor,5.20,481,,,
zipcpu_zipcpu_piped-p525.btor,2.38,423,,,
zipcpu_zipcpu_dcache-p340.btor,5.29,482,,,
dblclockfft_butterfly_ck3_r0-p048.btor,1.46,423,,,
dblclockfft_butterfly_ck3_r0-p051.btor,1.48,423,,,
dblclockfft_butterfly_ck3_r0-p052.btor,1.36,423,,,
zipcpu_zipcpu_piped-p528.btor,1.84,423,,,
zipcpu_zipcpu_piped-p529.btor,1.76,423,,,
zipcpu_zipcpu_dcache-p377.btor,4.46,481,,,
zipcpu_zipcpu_dcache-p388.btor,4.40,482,,,
zipcpu_zipcpu_dcache-p428.btor,4.39,482,,,
zipcpu_zipcpu_dcache-p407.btor,4.36,482,,,
zipcpu_zipcpu_dcache-p429.btor,4.11,481,,,
zipcpu_zipcpu_dcache-p440.btor,3.94,482,,,
zipcpu_zipcpu_dcache-p438.btor,4.08,481,,,
zipcpu_zipcpu_dcache-p451.btor,4.11,482,,,
zipcpu_zipcpu_dcache-p504.btor,3.36,481,,,
zipcpu_zipcpu_dcache-p476.btor,3.57,482,,,
zipcpu_zipcpu_dcache-p506.btor,3.25,487,,,
