base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu_zipcpu_piped-p267.btor,2.44,423,,,
dblclockfft_butterfly_ck1-p422.btor,2.61,423,,,
zipcpu_zipcpu_dcache-p028.btor,5.35,481,,,
zipcpu_zipcpu_dcache-p034.btor,5.14,481,,,
zipcpu_zipcpu_piped-p275.btor,2.48,423,,,
zipcpu_zipcpu_dcache-p041.btor,5.23,481,,,
dblclockfft_butterfly_ck1-p432.btor,2.78,423,,,
zipcpu_zipcpu_piped-p288.btor,2.40,423,,,
dblclockfft_butterfly_ck1-p434.btor,2.63,423,,,
dblclockfft_butterfly_ck2_r0-p043.btor,1.93,423,,,
zipcpu_zipcpu_dcache-p068.btor,5.25,481,,,
zipcpu_zipcpu_dcache-p059.btor,5.37,481,,,
dblclockfft_butterfly_ck1-p436.btor,2.68,422,,,
dblclockfft_butterfly_ck2_r0-p061.btor,1.93,423,,,
zipcpu_zipcpu_piped-p295.btor,2.41,423,,,
dblclockfft_butterfly_ck2_r0-p048.btor,1.92,423,,,
zipcpu_zipcpu_piped-p308.btor,2.39,423,,,
zipcpu_zipcpu_dcache-p079.btor,5.34,481,,,
zipcpu_zipcpu_dcache-p071.btor,5.26,481,,,
zipcpu_zipcpu_piped-p309.btor,2.42,423,,,
zipcpu_zipcpu_piped-p315.btor,2.37,423,,,
dblclockfft_butterfly_ck1-p454.btor,2.57,423,,,
zipcpu_zipcpu_dcache-p082.btor,5.23,481,,,
zipcpu_zipcpu_dcache-p085.btor,5.26,481,,,
dblclockfft_butterfly_ck1-p455.btor,2.69,423,,,
zipcpu_zipcpu_dcache-p072.btor,5.34,481,,,
zipcpu_zipcpu_piped-p323.btor,2.31,423,,,
dblclockfft_butterfly_ck2_r0-p064.btor,1.45,423,,,
zipcpu_zipcpu_dcache-p088.btor,4.57,481,,,
zipcpu_zipcpu_piped-p327.btor,1.85,423,,,
zipcpu_zipcpu_piped-p330.btor,1.75,423,,,
zipcpu_zipcpu_dcache-p090.btor,4.44,481,,,
zipcpu_zipcpu_dcache-p097.btor,4.17,481,,,
zipcpu_zipcpu_dcache-p126.btor,4.15,481,,,
zipcpu_zipcpu_dcache-p138.btor,4.23,481,,,
zipcpu_zipcpu_dcache-p141.btor,4.14,481,,,
zipcpu_zipcpu_dcache-p158.btor,3.94,481,,,
zipcpu_zipcpu_dcache-p159.btor,3.14,481,,,
zipcpu_zipcpu_dcache-p164.btor,3.11,481,,,
dblclockfft_butterfly_ck2_r0-p096.btor,1.97,418,,,
dblclockfft_butterfly_ck2_r0-p095.btor,1.95,423,,,
dblclockfft_butterfly_ck2_r0-p101.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p152.btor,1.82,423,,,
dblclockfft_butterfly_ck2_r0-p129.btor,1.83,423,,,
dblclockfft_butterfly_ck2_r0-p100.btor,1.84,423,,,
dblclockfft_butterfly_ck2_r0-p134.btor,1.87,423,,,
dblclockfft_butterfly_ck2_r0-p075.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p103.btor,1.85,423,,,
dblclockfft_butterfly_ck2_r0-p106.btor,1.91,423,,,
dblclockfft_butterfly_ck2_r0-p098.btor,1.97,423,,,
zipcpu_zipcpu_piped-p342.btor,2.40,423,,,
zipcpu_zipcpu_piped-p372.btor,2.41,423,,,
zipcpu_zipcpu_piped-p389.btor,2.34,423,,,
zipcpu_zipcpu_piped-p350.btor,2.41,423,,,
zipcpu_zipcpu_piped-p344.btor,2.44,418,,,
zipcpu_zipcpu_piped-p347.btor,2.43,423,,,
zipcpu_zipcpu_piped-p390.btor,2.46,421,,,
zipcpu_zipcpu_piped-p378.btor,2.37,423,,,
zipcpu_zipcpu_piped-p381.btor,2.45,423,,,
zipcpu_zipcpu_piped-p351.btor,2.41,423,,,
dblclockfft_butterfly_ck2_r0-p168.btor,1.94,423,,,
dblclockfft_butterfly_ck2_r0-p159.btor,2.02,423,,,
dblclockfft_butterfly_ck2_r0-p155.btor,2.00,423,,,
dblclockfft_butterfly_ck2_r0-p171.btor,1.87,423,,,
zipcpu_zipcpu_piped-p399.btor,2.35,423,,,
dblclockfft_butterfly_ck2_r0-p173.btor,1.84,423,,,
zipcpu_zipcpu_piped-p442.btor,2.43,423,,,
zipcpu_zipcpu_piped-p431.btor,2.42,423,,,
zipcpu_zipcpu_piped-p423.btor,2.46,423,,,
dblclockfft_butterfly_ck2_r0-p188.btor,1.93,423,,,
dblclockfft_butterfly_ck2_r0-p185.btor,1.96,423,,,
zipcpu_zipcpu_dcache-p238.btor,4.97,481,,,
zipcpu_zipcpu_piped-p448.btor,2.44,423,,,
zipcpu_zipcpu_dcache-p192.btor,5.24,481,,,
zipcpu_zipcpu_dcache-p179.btor,5.18,481,,,
zipcpu_zipcpu_dcache-p237.btor,5.19,481,,,
zipcpu_zipcpu_dcache-p286.btor,5.20,481,,,
zipcpu_zipcpu_dcache-p199.btor,5.27,481,,,
zipcpu_zipcpu_piped-p466.btor,2.41,423,,,
zipcpu_zipcpu_piped-p472.btor,2.49,423,,,
zipcpu_zipcpu_dcache-p209.btor,5.31,481,,,
zipcpu_zipcpu_dcache-p229.btor,5.26,481,,,
zipcpu_zipcpu_dcache-p236.btor,5.33,477,,,
zipcpu_zipcpu_dcache-p242.btor,5.37,481,,,
zipcpu_zipcpu_dcache-p211.btor,5.52,481,,,
dblclockfft_butterfly_ck2_r0-p218.btor,1.98,423,,,
dblclockfft_butterfly_ck2_r0-p232.btor,2.02,423,,,
zipcpu_zipcpu_piped-p475.btor,2.35,423,,,
dblclockfft_butterfly_ck2_r0-p239.btor,1.93,423,,,
dblclockfft_butterfly_ck3_r0-p021.btor,1.58,423,,,
zipcpu_zipcpu_piped-p476.btor,2.41,423,,,
dblclockfft_butterfly_ck3_r0-p029.btor,1.53,420,,,
dblclockfft_butterfly_ck2_r0-p249.btor,1.96,423,,,
zipcpu_zipcpu_piped-p479.btor,2.35,420,,,
zipcpu_zipcpu_dcache-p360.btor,4.94,481,,,
zipcpu_zipcpu_dcache-p293.btor,5.20,481,,,
zipcpu_zipcpu_dcache-p304.btor,5.19,481,,,
zipcpu_zipcpu_dcache-p340.btor,5.03,481,,,
zipcpu_zipcpu_dcache-p351.btor,5.12,481,,,
zipcpu_zipcpu_dcache-p301.btor,5.18,481,,,
zipcpu_zipcpu_dcache-p362.btor,4.94,481,,,
dblclockfft_butterfly_ck3_r0-p042.btor,1.58,423,,,
dblclockfft_butterfly_ck2_r0-p253.btor,1.92,423,,,
zipcpu_zipcpu_piped-p520.btor,2.18,411,,,
zipcpu_zipcpu_piped-p509.btor,2.40,423,,,
zipcpu_zipcpu_piped-p525.btor,2.23,411,,,
zipcpu_zipcpu_piped-p516.btor,2.40,423,,,
zipcpu_zipcpu_piped-p518.btor,2.29,423,,,
zipcpu_zipcpu_piped-p481.btor,2.41,423,,,
dblclockfft_butterfly_ck3_r0-p048.btor,1.37,423,,,
dblclockfft_butterfly_ck3_r0-p052.btor,1.10,423,,,
dblclockfft_butterfly_ck3_r0-p051.btor,1.33,423,,,
zipcpu_zipcpu_piped-p528.btor,1.73,423,,,
