base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutCY_mem-p1.btor,1.01,423,,,
picorv32_mutAY_mem-p5.btor,1.02,423,,,
picorv32_mutCY_mem-p3.btor,1.06,423,,,
picorv32_mutCY_mem-p8.btor,1.16,423,,,
picorv32_mutBY_mem-p4.btor,1.31,423,,,
picorv32_mutBY_mem-p8.btor,1.16,423,,,
picorv32_mutAY_mem-p8.btor,1.12,423,,,
picorv32_mutAY_mem-p6.btor,1.12,423,,,
picorv32_mutCX_mem-p3.btor,3.04,423,,,
picorv32_mutCX_mem-p0.btor,3.01,409,,,
picorv32_mutBX_mem-p1.btor,3.01,423,,,
picorv32_mutBX_mem-p5.btor,2.88,409,,,
picorv32_mutBX_mem-p6.btor,2.94,423,,,
picorv32_mutCX_mem-p7.btor,2.89,407,,,
picorv32_mutAX_mem-p0.btor,2.90,423,,,
picorv32_mutBX_mem-p7.btor,2.94,408,,,
picorv32_mutAX_mem-p7.btor,2.95,423,,,
picorv32_mutBX_mem-p2.btor,3.06,423,,,
