base,Cpu,Mem,BMC,seahorn_total,Result
marlann_compute_fail1-p0.btor,1.29,423,,,
marlann_compute_fail2-p1.btor,1.31,412,,,
marlann_compute_fail1-p1.btor,1.24,411,,,
marlann_compute_fail2-p2.btor,1.34,423,,,
marlann_compute_fail1-p2.btor,1.32,423,,,
