index,btor_time
VexRiscv-regch0-15-p0.btor,0.012
VexRiscv-regch0-15-p1.btor,0.025
VexRiscv-regch0-20-p0.btor,0.025
picorv32-check-p01.btor,0.008
picorv32-check-p06.btor,0.017
picorv32-check-p08.btor,0.021
picorv32-check-p09.btor,0.015
picorv32-check-p10.btor,0.028
picorv32-check-p14.btor,0.024
picorv32-check-p18.btor,0.012
ponylink-slaveTXlen-unsat.btor,0.021
zipcpu-zipmmu-p00.btor,0.008
zipcpu-zipmmu-p01.btor,0.017
zipcpu-zipmmu-p06.btor,0.021
zipcpu-zipmmu-p26.btor,0.024
zipcpu-zipmmu-p28.btor,0.021
zipcpu-zipmmu-p29.btor,0.012
zipcpu-zipmmu-p31.btor,0.017
zipcpu-zipmmu-p34.btor,0.009
zipcpu-zipmmu-p41.btor,0.013
