index,cycles
dblclockfft_butterfly_ck3_r2-p052.btor,553.0
dblclockfft_butterfly_ck3_r2-p059.btor,435.0
dblclockfft_butterfly_ck3_r2-p060.btor,612.0
dblclockfft_butterfly_ck3_r2-p079.btor,416.0
dblclockfft_butterfly_ck3_r2-p093.btor,396.0
dblclockfft_butterfly_ck3_r2-p114.btor,377.0
dblclockfft_butterfly_ck3_r2-p133.btor,377.0
dblclockfft_butterfly_ck3_r2-p146.btor,396.0
dblclockfft_butterfly_ck3_r2-p148.btor,377.0
dblclockfft_butterfly_ck3_r2-p151.btor,396.0
dblclockfft_butterfly_ck3_r2-p154.btor,396.0
dblclockfft_butterfly_ck3_r2-p155.btor,396.0
dblclockfft_butterfly_ck3_r2-p156.btor,396.0
dblclockfft_butterfly_ck3_r2-p173.btor,396.0
zipcpu_zipcpu_dcache-p019.btor,93.0
zipcpu_zipcpu_dcache-p028.btor,93.0
zipcpu_zipcpu_dcache-p034.btor,93.0
zipcpu_zipcpu_dcache-p041.btor,93.0
zipcpu_zipcpu_dcache-p059.btor,93.0
zipcpu_zipcpu_dcache-p068.btor,93.0
zipcpu_zipcpu_dcache-p071.btor,85.0
zipcpu_zipcpu_dcache-p072.btor,93.0
zipcpu_zipcpu_dcache-p079.btor,93.0
zipcpu_zipcpu_dcache-p082.btor,93.0
zipcpu_zipcpu_dcache-p085.btor,93.0
zipcpu_zipcpu_dcache-p088.btor,93.0
zipcpu_zipcpu_dcache-p090.btor,93.0
zipcpu_zipcpu_dcache-p097.btor,101.0
zipcpu_zipcpu_dcache-p126.btor,125.0
zipcpu_zipcpu_dcache-p138.btor,101.0
zipcpu_zipcpu_dcache-p141.btor,140.0
zipcpu_zipcpu_dcache-p158.btor,101.0
zipcpu_zipcpu_dcache-p159.btor,101.0
zipcpu_zipcpu_dcache-p164.btor,101.0
zipcpu_zipcpu_dcache-p179.btor,93.0
zipcpu_zipcpu_dcache-p192.btor,93.0
zipcpu_zipcpu_dcache-p199.btor,93.0
zipcpu_zipcpu_dcache-p209.btor,85.0
zipcpu_zipcpu_dcache-p211.btor,93.0
zipcpu_zipcpu_dcache-p229.btor,93.0
zipcpu_zipcpu_dcache-p236.btor,93.0
zipcpu_zipcpu_dcache-p237.btor,93.0
zipcpu_zipcpu_dcache-p238.btor,93.0
zipcpu_zipcpu_dcache-p242.btor,93.0
zipcpu_zipcpu_dcache-p286.btor,93.0
zipcpu_zipcpu_dcache-p293.btor,93.0
zipcpu_zipcpu_dcache-p301.btor,93.0
zipcpu_zipcpu_dcache-p304.btor,93.0
zipcpu_zipcpu_dcache-p340.btor,93.0
zipcpu_zipcpu_dcache-p351.btor,93.0
zipcpu_zipcpu_dcache-p360.btor,93.0
zipcpu_zipcpu_dcache-p362.btor,93.0
zipcpu_zipcpu_dcache-p377.btor,93.0
zipcpu_zipcpu_dcache-p388.btor,93.0
zipcpu_zipcpu_dcache-p407.btor,85.0
zipcpu_zipcpu_dcache-p428.btor,101.0
zipcpu_zipcpu_dcache-p429.btor,101.0
zipcpu_zipcpu_dcache-p438.btor,148.0
zipcpu_zipcpu_dcache-p440.btor,101.0
zipcpu_zipcpu_dcache-p451.btor,148.0
zipcpu_zipcpu_dcache-p476.btor,156.0
zipcpu_zipcpu_dcache-p504.btor,148.0
zipcpu_zipcpu_dcache-p506.btor,101.0
zipcpu_zipcpu_dcache-p515.btor,85.0
zipcpu_zipcpu_dcache-p519.btor,93.0
zipcpu_zipcpu_dcache-p525.btor,93.0
zipcpu_zipcpu_dcache-p527.btor,93.0
zipcpu_zipcpu_dcache-p531.btor,93.0
zipcpu_zipcpu_dcache-p550.btor,85.0
zipcpu_zipcpu_dcache-p563.btor,93.0
zipcpu_zipcpu_dcache-p570.btor,93.0
zipcpu_zipcpu_dcache-p577.btor,93.0
zipcpu_zipcpu_dcache-p578.btor,93.0
zipcpu_zipcpu_dcache-p579.btor,85.0
zipcpu_zipcpu_dcache-p582.btor,93.0
zipcpu_zipcpu_dcache-p588.btor,93.0
zipcpu_zipcpu_dcache-p595.btor,93.0
zipcpu_zipcpu_piped-p013.btor,120.0
zipcpu_zipcpu_piped-p015.btor,120.0
zipcpu_zipcpu_piped-p020.btor,111.0
zipcpu_zipcpu_piped-p033.btor,120.0
zipcpu_zipcpu_piped-p034.btor,120.0
zipcpu_zipcpu_piped-p040.btor,120.0
zipcpu_zipcpu_piped-p048.btor,120.0
zipcpu_zipcpu_piped-p073.btor,129.0
zipcpu_zipcpu_piped-p081.btor,129.0
zipcpu_zipcpu_piped-p102.btor,129.0
zipcpu_zipcpu_piped-p110.btor,129.0
zipcpu_zipcpu_piped-p111.btor,129.0
zipcpu_zipcpu_piped-p112.btor,129.0
zipcpu_zipcpu_piped-p115.btor,166.0
zipcpu_zipcpu_piped-p131.btor,129.0
zipcpu_zipcpu_piped-p132.btor,184.0
zipcpu_zipcpu_piped-p142.btor,129.0
zipcpu_zipcpu_piped-p146.btor,92.0
zipcpu_zipcpu_piped-p155.btor,120.0
zipcpu_zipcpu_piped-p156.btor,92.0
zipcpu_zipcpu_piped-p160.btor,111.0
zipcpu_zipcpu_piped-p162.btor,111.0
zipcpu_zipcpu_piped-p163.btor,120.0
zipcpu_zipcpu_piped-p177.btor,120.0
zipcpu_zipcpu_piped-p183.btor,120.0
zipcpu_zipcpu_piped-p185.btor,129.0
zipcpu_zipcpu_piped-p205.btor,129.0
zipcpu_zipcpu_piped-p210.btor,120.0
zipcpu_zipcpu_piped-p211.btor,120.0
zipcpu_zipcpu_piped-p214.btor,1.0
zipcpu_zipcpu_piped-p218.btor,111.0
zipcpu_zipcpu_piped-p219.btor,1.0
zipcpu_zipcpu_piped-p223.btor,129.0
zipcpu_zipcpu_piped-p224.btor,120.0
zipcpu_zipcpu_piped-p226.btor,120.0
zipcpu_zipcpu_piped-p262.btor,111.0
zipcpu_zipcpu_piped-p267.btor,111.0
zipcpu_zipcpu_piped-p275.btor,120.0
zipcpu_zipcpu_piped-p288.btor,193.0
zipcpu_zipcpu_piped-p295.btor,175.0
zipcpu_zipcpu_piped-p308.btor,148.0
zipcpu_zipcpu_piped-p309.btor,129.0
zipcpu_zipcpu_piped-p315.btor,184.0
zipcpu_zipcpu_piped-p323.btor,1.0
zipcpu_zipcpu_piped-p327.btor,129.0
zipcpu_zipcpu_piped-p330.btor,129.0
zipcpu_zipcpu_piped-p342.btor,129.0
zipcpu_zipcpu_piped-p344.btor,120.0
zipcpu_zipcpu_piped-p347.btor,120.0
zipcpu_zipcpu_piped-p350.btor,120.0
zipcpu_zipcpu_piped-p351.btor,120.0
zipcpu_zipcpu_piped-p372.btor,129.0
zipcpu_zipcpu_piped-p378.btor,120.0
zipcpu_zipcpu_piped-p381.btor,120.0
zipcpu_zipcpu_piped-p389.btor,129.0
zipcpu_zipcpu_piped-p390.btor,129.0
zipcpu_zipcpu_piped-p399.btor,120.0
zipcpu_zipcpu_piped-p423.btor,120.0
zipcpu_zipcpu_piped-p431.btor,120.0
zipcpu_zipcpu_piped-p442.btor,120.0
zipcpu_zipcpu_piped-p448.btor,129.0
zipcpu_zipcpu_piped-p466.btor,120.0
zipcpu_zipcpu_piped-p472.btor,129.0
zipcpu_zipcpu_piped-p475.btor,120.0
zipcpu_zipcpu_piped-p476.btor,120.0
zipcpu_zipcpu_piped-p479.btor,120.0
zipcpu_zipcpu_piped-p481.btor,120.0
zipcpu_zipcpu_piped-p509.btor,129.0
zipcpu_zipcpu_piped-p516.btor,129.0
zipcpu_zipcpu_piped-p518.btor,129.0
zipcpu_zipcpu_piped-p520.btor,193.0
zipcpu_zipcpu_piped-p525.btor,203.0
zipcpu_zipcpu_piped-p528.btor,203.0
zipcpu_zipcpu_piped-p529.btor,129.0
